site_id,soil_group,crop_2024,depth_mm,sample_date,days_since_application,herbicide,replicate_id,concentration,is_t0,timepoint,t0_top_mean,relative_concentration
NSW_Griffith,Heavy,Wheat,300,2024-09-19,146,Terbuthylazine,2,5.319639921912494,False,T4,437.5,0.012159176964371415
NSW_Griffith,Heavy,Wheat,300,2024-09-19,146,Terbuthylazine,3,8.012507942681275,False,T4,437.5,0.01831430386898577
NSW_Griffith,Light,Wheat,150,2024-04-26,0,Flumioxazin,1,26.7,True,T0,26.7,1.0
NSW_Griffith,Light,Wheat,150,2024-04-26,0,Flumioxazin,2,26.7,True,T0,26.7,1.0
NSW_Griffith,Light,Wheat,150,2024-04-26,0,Flumioxazin,3,26.7,True,T0,26.7,1.0
NSW_Griffith,Light,Wheat,150,2024-05-06,10,Flumioxazin,1,25.260699159953692,False,T1,26.7,0.946093601496393
NSW_Griffith,Light,Wheat,150,2024-05-06,10,Flumioxazin,2,8.852252192858526,False,T1,26.7,0.33154502594975754
NSW_Griffith,Light,Wheat,150,2024-05-06,10,Flumioxazin,3,12.730539777807227,False,T1,26.7,0.4767992426145029
NSW_Griffith,Light,Wheat,150,2024-05-22,26,Flumioxazin,1,13.376345767737007,False,T2,26.7,0.5009867328740453
NSW_Griffith,Light,Wheat,150,2024-05-22,26,Flumioxazin,2,3.2393036284121886,False,T2,26.7,0.12132223327386474
NSW_Griffith,Light,Wheat,150,2024-05-22,26,Flumioxazin,3,11.74614568760192,False,T2,26.7,0.43993055009745025
NSW_Griffith,Light,Wheat,150,2024-07-26,91,Flumioxazin,1,3.22710430972388,False,T3,26.7,0.12086532995220525
NSW_Griffith,Light,Wheat,150,2024-07-26,91,Flumioxazin,2,7.819752026816456,False,T3,26.7,0.2928746077459347
NSW_Griffith,Light,Wheat,150,2024-07-26,91,Flumioxazin,3,2.9661696833052873,False,T3,26.7,0.11109249750207069
NSW_Griffith,Light,Wheat,150,2024-09-19,146,Flumioxazin,1,3.0842585601259276,False,T4,26.7,0.11551530187737556
NSW_Griffith,Light,Wheat,150,2024-09-19,146,Flumioxazin,2,2.0098055666234718,False,T4,26.7,0.07527361672747085
NSW_Griffith,Light,Wheat,150,2024-09-19,146,Flumioxazin,3,5.382957248355171,False,T4,26.7,0.2016088857061862
NSW_Griffith,Light,Wheat,300,2024-04-26,0,Flumioxazin,1,0.0,True,T0,26.7,0.0
NSW_Griffith,Light,Wheat,300,2024-04-26,0,Flumioxazin,2,0.0,True,T0,26.7,0.0
NSW_Griffith,Light,Wheat,300,2024-04-26,0,Flumioxazin,3,0.0,True,T0,26.7,0.0
NSW_Griffith,Light,Wheat,300,2024-05-06,10,Flumioxazin,1,0.20914925296351722,False,T1,26.7,0.007833305354438847
NSW_Griffith,Light,Wheat,300,2024-05-06,10,Flumioxazin,2,6.281422117349908,False,T1,26.7,0.23525925533145722
NSW_Griffith,Light,Wheat,300,2024-05-06,10,Flumioxazin,3,8.588699445015758,False,T1,26.7,0.32167413651744414
NSW_Griffith,Light,Wheat,300,2024-05-22,26,Flumioxazin,1,1.1165072495692931,False,T2,26.7,0.041816750920198244
NSW_Griffith,Light,Wheat,300,2024-05-22,26,Flumioxazin,2,4.189957798686013,False,T2,26.7,0.15692725837775331
NSW_Griffith,Light,Wheat,300,2024-05-22,26,Flumioxazin,3,1.5187031492110432,False,T2,26.7,0.056880267760713234
NSW_Griffith,Light,Wheat,300,2024-07-26,91,Flumioxazin,1,0.6988418394908906,False,T3,26.7,0.026173851666325493
NSW_Griffith,Light,Wheat,300,2024-07-26,91,Flumioxazin,2,0.0,False,T3,26.7,0.0
NSW_Griffith,Light,Wheat,300,2024-07-26,91,Flumioxazin,3,0.0,False,T3,26.7,0.0
NSW_Griffith,Light,Wheat,300,2024-09-19,146,Flumioxazin,1,0.06774731369073674,False,T4,26.7,0.002537352572686769
NSW_Griffith,Light,Wheat,300,2024-09-19,146,Flumioxazin,2,0.0,False,T4,26.7,0.0
NSW_Griffith,Light,Wheat,300,2024-09-19,146,Flumioxazin,3,0.10810582240474015,False,T4,26.7,0.004048907206170043
NSW_Griffith,Light,Wheat,150,2024-04-26,0,Imazapic,1,10.9,True,T0,10.9,1.0
NSW_Griffith,Light,Wheat,150,2024-04-26,0,Imazapic,2,10.9,True,T0,10.9,1.0
NSW_Griffith,Light,Wheat,150,2024-04-26,0,Imazapic,3,10.9,True,T0,10.9,1.0
NSW_Griffith,Light,Wheat,150,2024-05-06,10,Imazapic,1,3.925569778367098,False,T1,10.9,0.36014401636395393
NSW_Griffith,Light,Wheat,150,2024-05-06,10,Imazapic,2,4.780830321459805,False,T1,10.9,0.4386082863724592
NSW_Griffith,Light,Wheat,150,2024-05-06,10,Imazapic,3,4.370962914268392,False,T1,10.9,0.4010057719512286
NSW_Griffith,Light,Wheat,150,2024-05-22,26,Imazapic,1,3.9511613437058832,False,T2,10.9,0.36249186639503517
NSW_Griffith,Light,Wheat,150,2024-05-22,26,Imazapic,2,3.185184215720903,False,T2,10.9,0.2922187353872388
NSW_Griffith,Light,Wheat,150,2024-05-22,26,Imazapic,3,1.1624189064007726,False,T2,10.9,0.10664393636704335
NSW_Griffith,Light,Wheat,150,2024-07-26,91,Imazapic,1,2.3434057664030274,False,T3,10.9,0.21499135471587408
NSW_Griffith,Light,Wheat,150,2024-07-26,91,Imazapic,2,2.0897841227321012,False,T3,10.9,0.19172331401211937
NSW_Griffith,Light,Wheat,150,2024-07-26,91,Imazapic,3,1.5273568521014211,False,T3,10.9,0.14012448184416706
NSW_Griffith,Light,Wheat,150,2024-09-19,146,Imazapic,1,0.09688240632624985,False,T4,10.9,0.008888294158371546
NSW_Griffith,Light,Wheat,150,2024-09-19,146,Imazapic,2,1.3030666045674555,False,T4,10.9,0.11954739491444545
NSW_Griffith,Light,Wheat,150,2024-09-19,146,Imazapic,3,2.20824685983918,False,T4,10.9,0.20259145503111742
